Datetime,Water Level (m)
2023-03-02 00:00:00,-0.4242196
2023-03-02 01:00:00,-0.4831791
2023-03-02 02:00:00,-0.49020678
2023-03-02 03:00:00,-0.4293363
2023-03-02 04:00:00,-0.34668902
2023-03-02 05:00:00,-0.27701515
2023-03-02 06:00:00,-0.23660429
2023-03-02 07:00:00,-0.2478639
2023-03-02 08:00:00,-0.30714425
2023-03-02 09:00:00,-0.3874924
2023-03-02 10:00:00,-0.4726349
2023-03-02 11:00:00,-0.5557855
2023-03-02 12:00:00,-0.62067896
2023-03-02 13:00:00,-0.6305167
2023-03-02 14:00:00,-0.5514338
2023-03-02 15:00:00,-0.42429706
2023-03-02 16:00:00,-0.27880692
2023-03-02 17:00:00,-0.12865041
2023-03-02 18:00:00,-0.0051752483
2023-03-02 19:00:00,0.05993987
2023-03-02 20:00:00,0.037111934
2023-03-02 21:00:00,-0.0577432
2023-03-02 22:00:00,-0.17437074
2023-03-02 23:00:00,-0.29680523
2023-03-03 00:00:00,-0.41431484
2023-03-03 01:00:00,-0.5202659
2023-03-03 02:00:00,-0.5999415
2023-03-03 03:00:00,-0.60644656
2023-03-03 04:00:00,-0.52170867
2023-03-03 05:00:00,-0.41034842
2023-03-03 06:00:00,-0.30378133
2023-03-03 07:00:00,-0.22225145
2023-03-03 08:00:00,-0.2013052
2023-03-03 09:00:00,-0.2602026
2023-03-03 10:00:00,-0.35569564
2023-03-03 11:00:00,-0.45698455
2023-03-03 12:00:00,-0.5610146
2023-03-03 13:00:00,-0.65231335
2023-03-03 14:00:00,-0.69288653
2023-03-03 15:00:00,-0.6131042
2023-03-03 16:00:00,-0.46433428
2023-03-03 17:00:00,-0.29060045
2023-03-03 18:00:00,-0.10708343
2023-03-03 19:00:00,0.046481263
2023-03-03 20:00:00,0.12573817
2023-03-03 21:00:00,0.08912261
2023-03-03 22:00:00,-0.027897924
2023-03-03 23:00:00,-0.16074982
2023-03-04 00:00:00,-0.2980642
2023-03-04 01:00:00,-0.42837256
2023-03-04 02:00:00,-0.54827416
2023-03-04 03:00:00,-0.63385034
2023-03-04 04:00:00,-0.6129064
2023-03-04 05:00:00,-0.49194175
2023-03-04 06:00:00,-0.3471083
2023-03-04 07:00:00,-0.20756494
2023-03-04 08:00:00,-0.10646584
2023-03-04 09:00:00,-0.10125535
2023-03-04 10:00:00,-0.18954934
2023-03-04 11:00:00,-0.3062924
2023-03-04 12:00:00,-0.42574397
2023-03-04 13:00:00,-0.5455487
2023-03-04 14:00:00,-0.6514707
2023-03-04 15:00:00,-0.68726164
2023-03-04 16:00:00,-0.57767886
2023-03-04 17:00:00,-0.40322697
2023-03-04 18:00:00,-0.20063673
2023-03-04 19:00:00,0.0022811426
2023-03-04 20:00:00,0.15475142
2023-03-04 21:00:00,0.20319769
2023-03-04 22:00:00,0.119109266
2023-03-04 23:00:00,-0.020485314
2023-03-05 00:00:00,-0.16698086
2023-03-05 01:00:00,-0.3160197
2023-03-05 02:00:00,-0.45439884
2023-03-05 03:00:00,-0.5795736
2023-03-05 04:00:00,-0.6416709
2023-03-05 05:00:00,-0.5499342
2023-03-05 06:00:00,-0.38689235
2023-03-05 07:00:00,-0.20941608
2023-03-05 08:00:00,-0.05083293
2023-03-05 09:00:00,0.02790891
2023-03-05 10:00:00,-0.02109289
2023-03-05 11:00:00,-0.140584
2023-03-05 12:00:00,-0.27387932
2023-03-05 13:00:00,-0.406847
2023-03-05 14:00:00,-0.5363374
2023-03-05 15:00:00,-0.64381266
2023-03-05 16:00:00,-0.64397985
2023-03-05 17:00:00,-0.4943188
2023-03-05 18:00:00,-0.28642195
2023-03-05 19:00:00,-0.054080825
2023-03-05 20:00:00,0.15581438
2023-03-05 21:00:00,0.2856865
2023-03-05 22:00:00,0.26558882
2023-03-05 23:00:00,0.13378711
2023-03-06 00:00:00,-0.022043815
2023-03-06 01:00:00,-0.18013133
2023-03-06 02:00:00,-0.33569756
2023-03-06 03:00:00,-0.47710165
2023-03-06 04:00:00,-0.5912203
2023-03-06 05:00:00,-0.57615054
2023-03-06 06:00:00,-0.41687793
2023-03-06 07:00:00,-0.2155175
2023-03-06 08:00:00,-0.015014107
2023-03-06 09:00:00,0.12856668
2023-03-06 10:00:00,0.14701736
2023-03-06 11:00:00,0.041139964
2023-03-06 12:00:00,-0.095477276
2023-03-06 13:00:00,-0.23713751
2023-03-06 14:00:00,-0.37544584
2023-03-06 15:00:00,-0.5053332
2023-03-06 16:00:00,-0.5949986
2023-03-06 17:00:00,-0.51828164
2023-03-06 18:00:00,-0.32514518
2023-03-06 19:00:00,-0.08805285
2023-03-06 20:00:00,0.15275516
2023-03-06 21:00:00,0.3592941
2023-03-06 22:00:00,0.42204222
2023-03-06 23:00:00,0.3069147
2023-03-07 00:00:00,0.1430732
2023-03-07 01:00:00,-0.027093723
2023-03-07 02:00:00,-0.19536181
2023-03-07 03:00:00,-0.35392672
2023-03-07 04:00:00,-0.49440503
2023-03-07 05:00:00,-0.571855
2023-03-07 06:00:00,-0.45925787
2023-03-07 07:00:00,-0.25233588
2023-03-07 08:00:00,-0.02585811
2023-03-07 09:00:00,0.16826978
2023-03-07 10:00:00,0.26296398
2023-03-07 11:00:00,0.20175126
2023-03-07 12:00:00,0.0662557
2023-03-07 13:00:00,-0.08195193
2023-03-07 14:00:00,-0.23728323
2023-03-07 15:00:00,-0.38611764
2023-03-07 16:00:00,-0.52051055
2023-03-07 17:00:00,-0.5749963
2023-03-07 18:00:00,-0.43474802
2023-03-07 19:00:00,-0.20560329
2023-03-07 20:00:00,0.048721913
2023-03-07 21:00:00,0.295045
2023-03-07 22:00:00,0.45199987
2023-03-07 23:00:00,0.4093347
2023-03-08 00:00:00,0.25050524
